filename,doc_type,year,date,mpsi_hybrid,mpsi_keywords,mpsi_finbert,stance,hawkish_kw_count,dovish_kw_count,neutral_kw_count,word_count
fomc_st_20251029.txt,FOMC Statements,2025,2025-10-29,-19.16,-30.0,6.12,Dovish,0,3,7,278
fomc_min_20251209.txt,FOMC Minutes,2025,2025-12-09,-9.14,0.0,-30.46,Neutral,8,8,8,6251
fomc_st_20251210.txt,FOMC Statements,2025,2025-12-10,-26.01,-30.0,-16.71,Dovish,0,3,7,297
fomc_transpt_20260128.txt,FOMC Minutes,2026,2026-01-28,-45.49,-50.0,-34.96,Dovish,0,4,4,1230
FOMCpresconf20260128.txt,FOMC Minutes,2026,2026-01-28,-16.65,-16.67,-16.61,Dovish,4,7,7,7603
fomc_st_20260128.txt,FOMC Statements,2026,2026-01-28,-12.33,-22.22,10.74,Dovish,0,2,7,237
jackson_hole_2021_extra.txt,Fed Chair Speeches,2021,,-22.22,-18.75,-30.3,Dovish,3,6,7,2837
jackson_hole_2024.txt,Fed Chair Speeches,2024,,-14.49,-15.0,-13.3,Dovish,5,8,7,2369
jackson_hole_2025.txt,Fed Chair Speeches,2025,,-12.06,-10.0,-16.88,Dovish,6,8,6,3542
jackson_hole_2021.txt,Fed Chair Speeches,2021,,-19.38,-23.53,-9.69,Dovish,3,7,7,3055
jackson_hole_2022.txt,Fed Chair Speeches,2022,,26.1,40.0,-6.33,Hawkish,5,1,4,1341
jackson_hole_2023.txt,Fed Chair Speeches,2023,,-20.77,0.0,-69.22,Dovish,6,6,5,2120
ec_out_2025_1_Rhode_Island.txt,Economic Outlook,2025,,-5.57,-10.0,4.77,Neutral,3,4,3,1186
ec_out_2022.txt,Economic Outlook,2022,,15.71,35.29,-29.99,Hawkish,9,3,5,2313
rv_ec_out_2024.txt,Economic Outlook,2024,,-14.49,-15.0,-13.3,Dovish,5,8,7,2369
ec_out_2024.txt,Economic Outlook,2024,,4.63,0.0,15.43,Neutral,3,3,4,887
ec_out_2025.txt,Economic Outlook,2025,,-15.13,-25.0,7.9,Dovish,1,3,4,855
ec_out_2026.txt,Economic Outlook,2026,,-7.45,-6.67,-9.28,Neutral,5,6,4,2582
ec_out_2025_3.txt,Economic Outlook,2025,,-14.15,-28.57,19.51,Dovish,0,2,5,952
nabe_2025.txt,Economic Outlook,2025,,-6.44,-11.11,4.47,Neutral,5,7,6,2560
ec_out_2024 copy 3.txt,Economic Outlook,2024,,-9.92,-18.18,9.34,Neutral,2,4,5,977
